City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
300,Severo-Yeniseyskiy,RU,60.3725,93.0408,24.82,91,98,4.16,overcast clouds
301,Mehran,IR,33.1222,46.1646,81.36,15,0,5.7,clear sky
302,Bulungu,CD,-4.55,18.6,71.58,81,8,1.34,clear sky
303,Khani,GE,41.9563,42.9566,53.17,62,2,4.94,clear sky
304,Muswellbrook,AU,-32.2667,150.9,55.54,80,100,7.81,overcast clouds
305,Chokurdakh,RU,70.6333,147.9167,24.93,77,92,4.14,overcast clouds
306,Turkmenabat,TM,39.0733,63.5786,62.58,39,0,6.91,clear sky
307,Laguna,US,38.421,-121.4238,90.09,34,0,10.36,clear sky
308,Port Said,EG,31.2565,32.2841,80.78,71,0,8.75,clear sky
309,Chabahar,IR,25.2919,60.643,78.89,78,21,3.65,few clouds
310,Wuda,CN,39.4994,106.7117,64.18,40,7,4.29,clear sky
311,Grindavik,IS,63.8424,-22.4338,48.67,100,100,6.91,light rain
312,Noumea,NC,-22.2763,166.4572,81.0,99,100,10.29,overcast clouds
313,Mahebourg,MU,-20.4081,57.7,68.29,88,75,8.05,broken clouds
314,Sines,PT,37.9562,-8.8698,61.29,84,5,8.99,clear sky
315,Iskateley,RU,67.6803,53.1512,27.32,79,12,8.57,few clouds
316,Rock Springs,US,41.5875,-109.2029,68.23,41,40,24.16,scattered clouds
317,Jacqueville,CI,5.2052,-4.4146,76.12,90,28,7.67,scattered clouds
318,Hommersak,NO,58.9317,5.8511,49.41,90,0,3.44,clear sky
319,Portoferraio,IT,42.8115,10.3146,60.53,70,88,7.87,overcast clouds
320,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,82,85,5.3,overcast clouds
321,Port Elizabeth,ZA,-33.918,25.5701,65.1,90,100,6.91,overcast clouds
322,Faanui,PF,-16.4833,-151.75,78.78,70,26,17.22,scattered clouds
323,Norman Wells,CA,65.282,-126.8329,50.04,53,75,14.97,broken clouds
324,Imbituba,BR,-28.24,-48.6703,59.86,69,95,4.92,overcast clouds
325,Lysa Hora,UA,48.1706,31.1099,61.88,91,100,11.52,overcast clouds
326,San Fernando,PH,15.0286,120.6898,80.33,89,87,2.86,overcast clouds
327,Bhatapara,IN,21.7333,81.9333,74.26,84,64,4.59,broken clouds
328,Hasaki,JP,35.7333,140.8333,70.29,61,95,5.86,overcast clouds
329,Port Lincoln,AU,-34.7333,135.8667,56.16,76,100,12.91,overcast clouds
330,Mount Gambier,AU,-37.8333,140.7667,52.86,81,73,10.13,broken clouds
331,Komsomolskiy,UZ,40.4272,71.7189,61.52,55,100,6.91,overcast clouds
332,Muros,ES,42.7762,-9.0603,58.15,90,7,6.93,clear sky
333,Xunchang,CN,28.4543,104.715,68.86,84,99,1.28,overcast clouds
334,Bujaru,BR,-1.515,-48.0447,75.51,92,74,4.43,broken clouds
335,Pitimbu,BR,-7.4706,-34.8086,79.39,77,65,11.41,broken clouds
336,Naliya,IN,23.2667,68.8333,78.48,74,54,6.93,broken clouds
337,Ahero,KE,-0.1746,34.9163,65.91,82,100,3.83,overcast clouds
338,Qaanaaq,GL,77.484,-69.3632,12.22,78,43,7.63,scattered clouds
339,Rio Grande,BR,-32.035,-52.0986,59.11,72,86,8.86,overcast clouds
340,Coahuayana,MX,18.7333,-103.6833,84.18,76,77,3.13,broken clouds
341,Cukai,MY,4.25,103.4167,75.15,92,100,3.51,overcast clouds
342,Oga,IT,46.4631,10.347,43.81,97,100,4.5,overcast clouds
343,Edson,CA,53.5835,-116.4356,60.94,63,0,2.3,light rain
344,Maceio,BR,-9.6658,-35.7353,74.64,88,20,4.61,few clouds
345,Invermere,CA,50.5167,-116.0354,68.9,43,95,2.89,overcast clouds
